weight,round,result_type,winner_name,winner_team,winner_conf,winner_seed,winner_tpar_v1,winner_tpar_v3b,loser_name,loser_team,loser_conf,loser_seed,loser_tpar_v1,loser_tpar_v3b
184,C_R3,Dec,Rylan Rogers,Lehigh,EIWA,16,1.8028,1.8428,Chris Moore,Illinois,Big Ten,9,1.7564,1.9384
184,C_R2,Dec,Sal Perrine,Ohio,MAC,15,2.0200,2.0337,Caleb Uhlenhopp,Utah Valley,Big 12,32,0.4330,0.6570
184,C_R2,Dec,Caleb Campos,American,EIWA,10,2.2734,2.2880,Malachi DuVall,George Mason,MAC,25,2.4348,2.3638
184,C_R2,MD,Zack Ryder,Oklahoma State,Big 12,22,1.5560,1.7860,Abraham Wojcikiewicz,Stanford,ACC,28,1.1136,1.2311
184,C_R2,TB-1,Jaden Bullock,Virginia Tech,ACC,14,1.6179,1.6652,Nick Fox,Northern Iowa,Big 12,29,1.3413,1.5137
184,C_R2,Dec,James Conway,Franklin and Marshall,EIWA,4,3.3303,3.3435,Jared McGill,Edinboro,MAC,19,2.6021,2.5142
184,C_R2,Dec,Shane Cartagena-Walsh,Rutgers,Big Ten,11,2.2006,2.3088,Dylan Fishback,Ohio State,Big Ten,12,2.8154,3.0675
184,C_R2,SV-1,Chris Moore,Illinois,Big Ten,9,1.7564,1.9384,Chase Kranitz,Pittsburgh,ACC,26,1.0169,1.0958
184,C_R2,Dec,Rylan Rogers,Lehigh,EIWA,16,1.8028,1.8428,Jake Dailey,North Carolina,ACC,18,2.3830,2.4757
184,QF,Inj.,Rocco Welsh,Penn State,Big Ten,1,4.8655,5.1180,Silas Allred,Nebraska,Big Ten,8,2.5300,2.7592
184,QF,Fall,Brock Mantanona,Michigan,Big Ten,5,2.8740,3.0460,Brian Soldano,Oklahoma,Big 12,20,2.5215,2.7720
184,QF,Dec,Max McEnelly,Minnesota,Big Ten,3,4.2990,4.5790,Eddie Neitenbach,Wyoming,Big 12,6,3.0196,3.2774
184,QF,SV-1,Angelo Ferrari,Iowa,Big Ten,7,3.8292,4.0900,Aeoden Sinclair,Missouri,Big 12,2,4.4185,4.6393
184,C_R1,SV-1,Caleb Uhlenhopp,Utah Valley,Big 12,32,0.4330,0.6570,Ian Bush,West Virginia,Big 12,17,2.0300,2.1507
184,C_R1,Fall,Malachi DuVall,George Mason,MAC,25,2.4348,2.3638,Joe Curtis,Columbia,CAA,24,2.9968,3.0220
184,C_R1,TF,Abraham Wojcikiewicz,Stanford,ACC,28,1.1136,1.2311,Tomas Brooker,Appalachian State,SoCon,21,1.8929,1.9245
